date,period,actual,prediction,response,lower_80,upper_80,lower_95,upper_95,actual_log,counterfactual_log,war_premium_usd_bbl,war_stage,model,horizon,specification,sample_start,sample_end
2026-04-23,2026-04,113.25,71.66103100161446,41.58896899838554,62.05692177102293,82.75150003673313,57.50538656819127,89.30125803301544,4.7295977643631435,4.2719470991807125,41.58896899838554,E2_disruption,AR3_plus_USD_counterfactual,37,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-24,2026-04,111.86,71.66802673471891,40.19197326528109,61.943217041470085,82.91958831601694,57.3413594753375,89.57419396827359,4.717248089393442,4.272044716973231,40.19197326528109,E2_disruption,AR3_plus_USD_counterfactual,38,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-27,2026-04,113.89,71.63125882230979,42.25874117769021,61.79352822038531,83.03518812146473,57.14509475431431,89.78963570764493,4.7352330702862595,4.271531554425727,42.25874117769021,E2_disruption,AR3_plus_USD_counterfactual,39,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-28,2026-04,117.62,71.67966767181073,45.94033232818927,61.719022624003976,83.24783088096002,57.019358120953136,90.10930545100535,4.76745908903181,4.272207132380966,45.94033232818927,E2_disruption,AR3_plus_USD_counterfactual,40,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-29,2026-04,124.16,71.75003194334103,52.40996805665897,61.664889509571346,83.4845748498649,56.91332213902131,90.45451733243321,4.821571056434909,4.273188299842991,52.40996805665897,E2_disruption,AR3_plus_USD_counterfactual,41,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-04-30,2026-04,124.24,71.66928664683839,52.57071335316161,61.482501359040704,83.54387890744772,56.68985975296366,90.60679759748672,4.822215178840431,4.272062296654192,52.57071335316161,E2_disruption,AR3_plus_USD_counterfactual,42,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-01,2026-05,118.26,71.61225075475566,46.64774924524434,61.322209591273165,83.6289900892909,56.487781815133715,90.78626020305278,4.772885590392684,4.271266159257432,46.64774924524434,E2_disruption,AR3_plus_USD_counterfactual,43,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-05,2026-05,114.51,71.56032501957061,42.94967498042939,61.16794800810054,83.7183571407107,56.29221419294469,90.96959837739698,4.740662155425248,4.2705408005470655,42.94967498042939,E2_disruption,AR3_plus_USD_counterfactual,44,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-06,2026-05,103.7,71.45089905128316,32.249100948716844,60.96621623768864,83.73868824879868,56.053923370789434,91.07713908741437,4.641502115235482,4.269010487239793,32.249100948716844,E2_disruption,AR3_plus_USD_counterfactual,45,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
2026-05-07,2026-05,101.82,71.43154543427698,30.38845456572301,60.84291843766778,83.86293449017472,55.88865641317882,91.2969824396421,4.62320654847419,4.268739584579999,30.38845456572301,E2_disruption,AR3_plus_USD_counterfactual,46,trained 2024-01-01 to 2026-02-27,2024-01-01,2026-02-27
