outcome,buffer,horizon,estimate,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,specification,sample_start,sample_end,countries,n,identification_note
cpi,fuel_price_regulation,3,-0.08193025719437597,0.1741396039117567,-0.3050991392108044,0.14123862482205246,-0.4232376091434894,0.25937709475473747,0.6381032275804226,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1263,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,4,-0.11203792502839008,0.17347502778862392,-0.3343551184737941,0.11027926841701396,-0.45204273171117804,0.22796688165439785,0.5185185521664777,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-02,7,1256,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,5,-0.12776800845479838,0.17216137465900622,-0.3484016876753583,0.09286567076576152,-0.4651981023153573,0.2096620854057605,0.4581658794322725,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-01,7,1249,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,6,-0.10756099187395694,0.15070766677626288,-0.30070063817065057,0.0855786544227367,-0.40294259094949586,0.18782060720158195,0.4755664448246628,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-12,7,1242,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,7,-0.04649375161874508,0.13601211160950333,-0.220800286184931,0.12781278294744083,-0.3130725918346138,0.2200850885971236,0.7325431211374669,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1235,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,8,-0.11221365576371124,0.13052270551297343,-0.2794852333529792,0.0550579218255567,-0.3680334577338667,0.14360614620644424,0.3901367954315247,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1234,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,9,-0.11706858616735086,0.13542234395198163,-0.2906193030687323,0.05648213073403055,-0.3824915030152305,0.14835433068052875,0.3875272530368348,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1233,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,10,-0.05419280781858827,0.12487993580462999,-0.21423288505412103,0.1058472694169445,-0.29895298438733703,0.19056736875016048,0.6644077542822475,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-08,7,1226,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,11,-0.09128968426985457,0.13075397056723903,-0.2588576399514724,0.07627827141176322,-0.34756275741725334,0.1649833888775442,0.4852217449918872,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-07,7,1219,MECHANISM_ONLY_single_strong_treatment_country
cpi,fuel_price_regulation,12,-0.07062539066815363,0.13304829748712446,-0.2411336446058217,0.09988286326951445,-0.3313952619472885,0.1901444806109813,0.5956542298116205,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-06,7,1212,MECHANISM_ONLY_single_strong_treatment_country
cpi,oil_import_dependency,0,0.03299866839803977,0.06799451415458903,-0.05413980766521829,0.12013714446129783,-0.10026813049125363,0.16626546728733319,0.6275526431535996,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1264,continuous lagged annual buffer interaction
cpi,oil_import_dependency,1,0.02944904471282646,0.062424865771059435,-0.05055163974498629,0.1094497291706392,-0.09290144393819723,0.15179953336385016,0.6371996703552933,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1263,continuous lagged annual buffer interaction
cpi,oil_import_dependency,2,0.026929471196665503,0.05754371163320694,-0.046815762534117886,0.10067470492744889,-0.08585413114117864,0.13971307353450965,0.6398917028943398,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1263,continuous lagged annual buffer interaction
cpi,oil_import_dependency,3,0.022192316281744607,0.05768887212098558,-0.05173894809940671,0.09612358066289592,-0.09087579538412392,0.13526042794761314,0.7005433995401433,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-03,7,1263,continuous lagged annual buffer interaction
cpi,oil_import_dependency,4,0.031680825403701096,0.05753459840594398,-0.042052729256416274,0.10541438006381847,-0.0810849153369247,0.14444656614432688,0.5819958381848442,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-02,7,1256,continuous lagged annual buffer interaction
cpi,oil_import_dependency,5,0.033193588511861015,0.05551612262205957,-0.03795318534740543,0.10434036237112745,-0.0756160123886851,0.14200318941240714,0.5500280211274267,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2026-01,7,1249,continuous lagged annual buffer interaction
cpi,oil_import_dependency,6,0.026809525915806955,0.04989739017406882,-0.037136552578360696,0.09075560440997461,-0.07098756174791071,0.12460661357952463,0.5911782230206599,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-12,7,1242,continuous lagged annual buffer interaction
cpi,oil_import_dependency,7,0.006586889938518811,0.04367202974808683,-0.04938106815565223,0.06255484803268985,-0.07900871549949322,0.09218249537653085,0.8801416943896139,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1235,continuous lagged annual buffer interaction
cpi,oil_import_dependency,8,0.028492477736011945,0.039720255024452686,-0.022411077274406176,0.07939603274643006,-0.049357791568661435,0.10634274704068533,0.47333086445465544,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1234,continuous lagged annual buffer interaction
cpi,oil_import_dependency,9,0.02909380911792911,0.040115191061987535,-0.022315876789681777,0.08050349502554,-0.049530520596509545,0.10771813883236776,0.4684563466503757,oil_specific_risk_shock,buffer_interaction_panel_LP_time_FE,"country FE, full year-month FE, shock x lagged annual buffer; common shock level absorbed by time FE",2011-01,2025-09,7,1233,continuous lagged annual buffer interaction
