outcome,country,reference_country,horizon,response,std_error,lower_80,upper_80,lower_95,upper_95,pvalue,shock,model,response_type,specification,sample_start,sample_end,n
cpi,DEU,CHN,8,0.2991145242081964,0.1617531514935083,0.09181951967991792,0.5064095287364749,-0.017915827104931115,0.6161448755213239,0.06470432915281288,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1269
cpi,FRA,CHN,8,0.13861753827655665,0.08499841564417326,0.029687685638955755,0.24754739091415756,-0.027976295128988832,0.3052113716821021,0.10322181946806452,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1269
cpi,ITA,CHN,8,0.27740830201954975,0.1613350989774258,0.07064905334773666,0.48416755069136286,-0.0388026814184097,0.5936192854575092,0.0858211806825957,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1269
cpi,ESP,CHN,8,0.35020802814765234,0.0927248405643353,0.23137636355755498,0.4690396927377497,0.16847068016933647,0.5319453761259683,0.0001675759743591243,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1269
cpi,JPN,CHN,8,-0.025719727941967044,0.1022997232502204,-0.15682209842806633,0.10538264254413225,-0.2262235011408138,0.17478404525687974,0.80154126745161,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1269
cpi,KOR,CHN,8,0.14231494079626444,0.06405001078419638,0.060231549202629034,0.22439833238989987,0.01677922644983748,0.2678506551426914,0.02649646084885715,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1269
cpi,DEU,CHN,9,0.2666955517078907,0.15182424823405818,0.07212494869590141,0.46126615471988003,-0.030874506810732227,0.5642656102265137,0.07927136209603503,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1268
cpi,FRA,CHN,9,0.16026135428250723,0.09329966617026823,0.040693021037211397,0.2798296875278031,-0.022602631180828586,0.343125339745843,0.0861402099833315,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1268
cpi,ITA,CHN,9,0.2826180066811434,0.19593597358647402,0.031515952984892126,0.5337200603773946,-0.101409444824137,0.6666454581864238,0.1494828127750405,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1268
cpi,ESP,CHN,9,0.3555978284239478,0.10765121379290357,0.2176372468548758,0.49355840999301986,0.1446053264978353,0.5665903303500603,0.000987446952476212,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1268
cpi,JPN,CHN,9,0.023048985494905836,0.09253862403482312,-0.09554403301026491,0.1416420040000766,-0.1583233847922401,0.20442135578205176,0.8033512623940569,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1268
cpi,KOR,CHN,9,0.13094920493141718,0.07214334271746521,0.038493791128228996,0.22340461873460538,-0.010449148519144635,0.272347558381979,0.06978504913406747,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-09,1268
cpi,DEU,CHN,10,0.19454723203938556,0.12660026476574282,0.032302464530486935,0.3567919995482842,-0.05358472733470554,0.44267919141347667,0.12466348297590657,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-08,1261
cpi,FRA,CHN,10,0.13595385563894297,0.08723377788681057,0.02415927101973095,0.24774844025815498,-0.035021207254572334,0.3069289185324583,0.11941266669330952,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-08,1261
cpi,ITA,CHN,10,0.20051240313294302,0.17265633749003967,-0.02075559647861419,0.42178040274450024,-0.13788780005012743,0.5389126063160135,0.2457653384434877,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-08,1261
cpi,ESP,CHN,10,0.3186556847513269,0.12376802226857032,0.16004058204868163,0.4772707874539721,0.07607481866717766,0.5612365508354761,0.010169506240467863,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-08,1261
cpi,JPN,CHN,10,-0.0332949817945735,0.08624497396237388,-0.14382236319640704,0.07723239960726003,-0.202332024608421,0.13574206101927402,0.6995360217316446,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-08,1261
cpi,KOR,CHN,10,0.08753708423098594,0.0774224124840288,-0.01168372969616098,0.18675789815813287,-0.06420805583391476,0.23928222429588664,0.2584607858713346,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-08,1261
cpi,DEU,CHN,11,0.24474555047011018,0.13448878459695965,0.07239123802168601,0.41709986291853435,-0.01884762366449591,0.5083387246047163,0.06906924386224134,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-07,1254
cpi,FRA,CHN,11,0.16063577242668997,0.09364763934188734,0.04062149361853813,0.2806500512348418,-0.022910227920605458,0.34418177277398543,0.0865797218001374,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-07,1254
cpi,ITA,CHN,11,0.29844467959069904,0.16764337730142592,0.08360104695687251,0.5132883122245255,-0.030130302166755385,0.6270196613481535,0.07532490446284812,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-07,1254
cpi,ESP,CHN,11,0.3628069461062353,0.12679804393728814,0.20030871439041067,0.52530517782206,0.11428734667902321,0.6113265455334475,0.004302335508574506,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-07,1254
cpi,JPN,CHN,11,-0.032947442528742134,0.08422767002910087,-0.14088954491671035,0.0749946598592261,-0.19803064228750356,0.1321357572300193,0.6957495718399445,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-07,1254
cpi,KOR,CHN,11,0.07728411423806054,0.08943257511915216,-0.037328342416573984,0.19189657089269507,-0.09800051204015063,0.2525687405162717,0.3876958766302705,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-07,1254
cpi,DEU,CHN,12,0.19623085135932936,0.14336820226692473,0.012497107294837051,0.37996459542382166,-0.08476566161209684,0.4772273643307555,0.17137972710595495,oil_specific_risk_shock,stacked_panel_LP_time_FE_relative_to_CHN,control_country_minus_china_relative_response,"country FE, full year-month FE, control-country shock interactions relative to China, control-country trends, Driscoll-Kraay covariance",2010-08,2025-06,1247
