rule_id,rho_normal,rho_stress,rho_extreme,J1_macro_loss,J2_cvar95_macro_loss,J3_avg_gap_month_burden,J4_adjustment_volatility,scenario_count,max_gap_ratio,max_terminal_gap_ratio,max_recovery_terminal_gap_ratio,max_monthly_adjustment_ratio,sample_split,is_feasible,is_pareto,is_knee,is_pareto_exact,knee_score,base_price_2026_06_cny_t,stress_threshold_75_cny_t,stress_threshold_95_cny_t,threshold_quantile_low,threshold_quantile_high
R0794,0.75,0.7,0.4,0.26387217251325534,0.9885602281569242,0.006271861232555622,0.040141560358348906,101,0.06449984859190472,0.06449984859190472,1.5747033347632988e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0795,0.75,0.7,0.45,0.2646483245509036,0.991462940454196,0.006115125226099637,0.04021447117181344,101,0.05912486120924599,0.05912486120924599,1.4434780568663572e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0796,0.75,0.7,0.5,0.26545184355926943,0.9943544956418484,0.005958389219643653,0.04031264136946245,101,0.05374987382658726,0.05374987382658726,1.3122527789694155e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0797,0.75,0.7,0.55,0.2662845576377391,0.9972349986470764,0.0058016532131876675,0.040435445902608246,101,0.048374886443928525,0.048374886443928525,1.1810275010724737e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0798,0.75,0.7,0.6,0.26711408155864985,1.0001045528548966,0.005644917206731684,0.0405822308291279,101,0.04299989906126981,0.04299989906126981,1.0498022231755325e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0799,0.75,0.7,0.65,0.26794191846389875,1.0028820841158748,0.005491452115538595,0.04075439235607704,101,0.03762491167861108,0.03762491167861108,9.185769452785908e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0800,0.75,0.7,0.7,0.2687681270306296,1.0053916628394906,0.0053483585973425705,0.04095732146565753,101,0.03224992429595236,0.03224992429595236,7.873516673816494e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0801,0.75,0.75,0.0,0.2618903509008573,0.9822476931426768,0.007126762836700637,0.04084103898181389,101,0.10749974765317452,0.10749974765317452,2.624505557938831e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0802,0.75,0.75,0.05,0.26243190156662055,0.9836049971718084,0.006970531124557762,0.040694158517685354,101,0.1021247602705158,0.1021247602705158,2.4932802800418896e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0803,0.75,0.75,0.1,0.26300009678019853,0.9851716542295189,0.00681429941241489,0.0405758737794546,101,0.09674977288785708,0.09674977288785708,2.3620550021449482e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0804,0.75,0.75,0.15,0.2635685798411398,0.9876569755965553,0.006658067700272016,0.04048591174261004,101,0.09137478550519834,0.09137478550519834,2.2308297242480064e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0805,0.75,0.75,0.2,0.26413507171793427,0.9901325586040307,0.006501835988129143,0.04042394844313461,101,0.08599979812253962,0.08599979812253962,2.099604446351065e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0806,0.75,0.75,0.25,0.26481035120621904,0.9925984973285905,0.006345604275986271,0.04038961035886954,101,0.0806248107398809,0.0806248107398809,1.9683791684541235e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0807,0.75,0.75,0.3,0.26555763842614066,0.9950548844270851,0.006189372563843397,0.04038247630147721,101,0.07524982335722216,0.07524982335722216,1.8371538905571817e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0808,0.75,0.75,0.35,0.2663091907517086,0.9975018111653129,0.006033140851700523,0.040402079781144275,101,0.06987483597456344,0.06987483597456344,1.7059286126602402e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0809,0.75,0.75,0.4,0.2670717384796977,1.000172367997109,0.005876909139557651,0.04044791179600851,101,0.06449984859190472,0.06449984859190472,1.5747033347632988e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0810,0.75,0.75,0.45,0.26784472144765054,1.003056780662906,0.005720677427414777,0.04051942398994784,101,0.05912486120924599,0.05912486120924599,1.4434780568663572e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0811,0.75,0.75,0.5,0.2686450732624831,1.0059300455546352,0.0055644457152719045,0.04061603211610947,101,0.05374987382658726,0.05374987382658726,1.3122527789694155e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0812,0.75,0.75,0.55,0.2694746220217142,1.0087922675910737,0.005408214003129031,0.04073711973953073,101,0.048374886443928525,0.048374886443928525,1.1810275010724737e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0813,0.75,0.75,0.6,0.270300982495816,1.0116435501488308,0.005251982290986158,0.040882042110438166,101,0.04299989906126981,0.04299989906126981,1.0498022231755325e-05,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0814,0.75,0.75,0.65,0.2711264156721746,1.0144071967902415,0.005098900584787125,0.041052358055972286,101,0.03762491167861108,0.03762491167861108,9.185769452785908e-06,0.13678291781872254,development,True,False,False,False,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0815,0.75,0.75,0.7,0.2719526242389054,1.0169167755138573,0.004955807066591099,0.041253773884081656,101,0.03224992429595236,0.03224992429595236,7.873516673816494e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0816,0.75,0.75,0.75,0.27278013917511773,1.0194160138849302,0.004812713548395075,0.04147941093597863,101,0.02687493691329363,0.02687493691329363,6.561263894847078e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0817,0.8,0.0,0.0,0.21906248460979674,0.7941583649992613,0.012687710705206103,0.04081932260903238,101,0.12107520894337606,0.12107520894337606,7.748813372376058e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0818,0.8,0.05,0.0,0.22211484642820944,0.8059944406270101,0.01223786286747638,0.04051824575854274,101,0.11184957234804586,0.11184957234804586,7.158372630274927e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0819,0.8,0.05,0.05,0.22269743510274295,0.8085432533314845,0.012082876591367312,0.04035608200894457,101,0.11184957234804586,0.11184957234804586,7.158372630274927e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0820,0.8,0.1,0.0,0.22523239450589172,0.8203536899771263,0.01179400276356053,0.0402752572882038,101,0.10749974765317452,0.10749974765317452,6.87998384980316e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
R0821,0.8,0.1,0.05,0.22582122515197,0.8228870354812364,0.011639413977537417,0.040112710699810955,101,0.10295781745252215,0.10295781745252215,6.589300316961409e-06,0.13678291781872254,development,True,False,False,True,,9504.0,435.9726516618276,702.4907282819895,0.75,0.95
